date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
2026-03-19 00:00:00+00:00,2026,3,19,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-19 00:00:00+00:00,2026,3,19,port757,Mombasa,Kenya,KEN,1,1,0,0,0,2,2,14085,46187,0,0,0,60272,60272,0,0,0,0,0,0,0
2026-03-18 00:00:00+00:00,2026,3,18,port631,Lamu,Kenya,KEN,0,0,1,0,0,1,1,0,0,4487,0,0,4487,4487,0,0,0,0,0,0,0
2026-03-18 00:00:00+00:00,2026,3,18,port757,Mombasa,Kenya,KEN,2,1,1,1,2,5,7,5141,49444,1263,0,23009,55850,78860,2143,0,131,0,509,2274,2783
2026-03-17 00:00:00+00:00,2026,3,17,port631,Lamu,Kenya,KEN,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-17 00:00:00+00:00,2026,3,17,port757,Mombasa,Kenya,KEN,3,1,1,0,2,5,7,11719,29887,0,0,52142,41606,93748,0,1327,0,0,0,1327,1327
2026-03-16 00:00:00+00:00,2026,3,16,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3093,0,0,0,0,3093,3093
2026-03-16 00:00:00+00:00,2026,3,16,port757,Mombasa,Kenya,KEN,1,1,1,1,2,4,6,21562,44604,2127,561,81760,68855,150615,0,0,955,0,1044,955,2000
2026-03-15 00:00:00+00:00,2026,3,15,port631,Lamu,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-15 00:00:00+00:00,2026,3,15,port757,Mombasa,Kenya,KEN,0,1,3,0,2,4,6,0,61543,3552,0,45574,65096,110671,0,0,1021,0,0,1021,1021
2026-03-14 00:00:00+00:00,2026,3,14,port631,Lamu,Kenya,KEN,2,0,0,0,0,2,2,38549,0,0,0,0,38549,38549,0,0,0,0,0,0,0
2026-03-14 00:00:00+00:00,2026,3,14,port757,Mombasa,Kenya,KEN,2,1,1,0,2,4,6,39174,29887,2127,0,59251,71189,130440,0,1327,955,0,0,2283,2283
2026-03-13 00:00:00+00:00,2026,3,13,port631,Lamu,Kenya,KEN,0,0,1,0,0,1,1,0,0,595,0,0,595,595,0,0,1414,0,0,1414,1414
2026-03-13 00:00:00+00:00,2026,3,13,port757,Mombasa,Kenya,KEN,1,2,1,0,1,4,5,24139,73654,1424,0,0,99218,99218,0,0,0,0,222,0,222
2026-03-12 00:00:00+00:00,2026,3,12,port631,Lamu,Kenya,KEN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1944,0,0,0,0,1944,1944
