Week,Period,Average in Hours,Median in Hours,Count
30,20 July 2022 - 26 July 2022,40,48,3
29,13 July 2022 - 19 July 2022,45.33,48,9
28,06 July 2022 - 12 July 2022,48,48,1
27,29 June 2022 - 05 July 2022,24,24,2
20,11 May 2022 - 17 May 2022,29.33,24,9
17,20 April 2022 - 26 April 2022,24,24,2
16,13 April 2022 - 19 April 2022,43.2,24,5
15,06 April 2022 - 12 April 2022,24,24,1
14,30 March 2022 - 05 April 2022,30,24,4
11,09 March 2022 - 15 March 2022,27.43,24,7
10,02 March 2022 - 08 March 2022,42,48,4
4,19 January 2022 - 25 January 2022,24,24,2
2,05 January 2022 - 11 January 2022,39,24,8
52,22 December 2021 - 28 December 2021,36,36,2
51,15 December 2021 - 21 December 2021,24,24,4
50,08 December 2021 - 14 December 2021,36,36,4
49,01 December 2021 - 07 December 2021,24,24,4
48,24 November 2021 - 30 November 2021,36,36,4
47,17 November 2021 - 23 November 2021,57,48,8
46,10 November 2021 - 16 November 2021,42,36,4
45,03 November 2021 - 09 November 2021,84,72,4
44,27 October 2021 - 02 November 2021,48,48,1
43,20 October 2021 - 26 October 2021,54,36,4
41,06 October 2021 - 12 October 2021,65.14,72,7
37,08 September 2021 - 14 September 2021,86.4,72,5
36,01 September 2021 - 07 September 2021,51.43,24,7
35,25 August 2021 - 31 August 2021,48,36,4
33,11 August 2021 - 17 August 2021,51.43,48,7
32,04 August 2021 - 10 August 2021,24,24,3
31,28 July 2021 - 03 August 2021,24,24,1
29,14 July 2021 - 20 July 2021,24,24,6
27,30 June 2021 - 06 July 2021,24,24,4
26,23 June 2021 - 29 June 2021,32,24,6
25,16 June 2021 - 22 June 2021,37.33,24,9
22,26 May 2021 - 01 June 2021,24,24,2
21,19 May 2021 - 25 May 2021,24,24,5
20,12 May 2021 - 18 May 2021,32,24,3
19,05 May 2021 - 11 May 2021,24,24,3
18,28 April 2021 - 04 May 2021,24,24,4
17,21 April 2021 - 27 April 2021,27,24,8
16,14 April 2021 - 20 April 2021,30,24,4
15,07 April 2021 - 13 April 2021,31.2,24,10
13,24 March 2021 - 30 March 2021,24,24,5
12,17 March 2021 - 23 March 2021,24,24,12
11,10 March 2021 - 16 March 2021,24,24,10
10,03 March 2021 - 09 March 2021,24,24,8
9,24 February 2021 - 02 March 2021,28.8,24,5
8,17 February 2021 - 23 February 2021,32,24,6
7,10 February 2021 - 16 February 2021,24,24,4
6,03 February 2021 - 09 February 2021,36,36,2
5,27 January 2021 - 02 February 2021,24,24,2
4,20 January 2021 - 26 January 2021,36,24,4
3,13 January 2021 - 19 January 2021,84,60,4
2,06 January 2021 - 12 January 2021,54.86,48,7
1,30 December 2020 - 05 January 2021,24,24,1
52,23 December 2020 - 29 December 2020,30,24,4
51,16 December 2020 - 22 December 2020,24,24,2
49,02 December 2020 - 08 December 2020,24,24,2
48,25 November 2020 - 01 December 2020,32,24,3
47,18 November 2020 - 24 November 2020,38.4,24,5
46,11 November 2020 - 17 November 2020,33.6,24,5
